"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 24 10:59:59 AMT 2021","Sat Jul 24 11:00:03 AMT 2021","4053","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","quizSettings","quizSettings()",""
"broken","Sat Jul 24 11:00:44 AMT 2021","Sat Jul 24 11:00:48 AMT 2021","4089","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","quizFilters","quizFilters()",""
"broken","Sat Jul 24 11:00:32 AMT 2021","Sat Jul 24 11:00:36 AMT 2021","4077","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","LeaveAllFieldEmptyOnCourseDefinitionSection","LeaveAllFieldEmptyOnCourseDefinitionSection()",""
"broken","Sat Jul 24 11:00:40 AMT 2021","Sat Jul 24 11:00:44 AMT 2021","4065","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","assignNewTrainingPath","assignNewTrainingPath()",""
"broken","Sat Jul 24 11:00:19 AMT 2021","Sat Jul 24 11:00:24 AMT 2021","4070","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","ActivateTheLessonField","ActivateTheLessonField()",""
"broken","Sat Jul 24 11:00:28 AMT 2021","Sat Jul 24 11:00:32 AMT 2021","4072","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","scormResultsSection","scormResultsSection()",""
"broken","Sat Jul 24 11:00:36 AMT 2021","Sat Jul 24 11:00:40 AMT 2021","4078","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","manageEventsAddNewEventNameFilter","manageEventsAddNewEventNameFilter()",""
"broken","Sat Jul 24 10:59:48 AMT 2021","Sat Jul 24 10:59:54 AMT 2021","6638","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","chooseLimitedCompletionTime","chooseLimitedCompletionTime()",""
"broken","Sat Jul 24 11:00:24 AMT 2021","Sat Jul 24 11:00:28 AMT 2021","4054","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","manageCategoriesAddNewCategoryButton","manageCategoriesAddNewCategoryButton()",""
"broken","Sat Jul 24 10:59:55 AMT 2021","Sat Jul 24 10:59:59 AMT 2021","4413","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","editFAQ","editFAQ()",""
"broken","Sat Jul 24 11:00:15 AMT 2021","Sat Jul 24 11:00:19 AMT 2021","4061","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","quizSectionInactiveButton","quizSectionInactiveButton()",""
"broken","Sat Jul 24 11:00:07 AMT 2021","Sat Jul 24 11:00:11 AMT 2021","4077","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","quizResultsSection","quizResultsSection()",""
"broken","Sat Jul 24 11:00:48 AMT 2021","Sat Jul 24 11:00:52 AMT 2021","4127","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","glossary","glossary()",""
"broken","Sat Jul 24 11:00:03 AMT 2021","Sat Jul 24 11:00:07 AMT 2021","4092","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","addAQuizToTheLesson","addAQuizToTheLesson()",""
"broken","Sat Jul 24 11:00:11 AMT 2021","Sat Jul 24 11:00:15 AMT 2021","4064","","com.lms.automation.CourseSectionAdminTest","","com.lms.automation.CourseSectionAdminTest","myAssignedCoursesSearchByCourseName","myAssignedCoursesSearchByCourseName()",""
